ladder,rung,gamma,k
spin,1,2.0930660360853435,0.25057572322565114
spin,1,2.3952870730164455,0.13289893534285804
spin,1,2.9151534344880043,0.012764000664409747
spin,1,2.2976508754379243,0.1677387849611917
spin,1,0.31101625379578396,0.9760115305851398
spin,1,2.9338507131813887,0.010750432103353792
spin,1,0.7007261920368835,0.8821870799497481
spin,1,1.202790417659003,0.6798777843957898
spin,1,2.2452632913718893,0.18775945824377951
spin,1,1.607505318206207,0.4816496262835413
spin,1,1.5021917836611807,0.5342753701483547
spin,1,1.852478706840584,0.36101394140259196
spin,1,2.0044433420885457,0.28990848263347174
spin,1,2.221224868615887,0.19723624732218747
spin,1,0.9043487197687675,0.8090988160266851
spin,1,2.625890895712815,0.0650265660887614
spin,1,2.2474281967709553,0.18691475182728462
spin,1,1.561008033332763,0.5048940685795129
